,Unnamed: 0,FLT,FLT_next,REG,ITY,NAT,PAX,DES,ORG,start_time,end_time,arrival,towing,departure,stand,f,start,end,CGMS,prev,next,UID,disrupted,prev_stand,prev_start,prev_end
0,0,2Y924,2Y923,PKMYI,B73X,CGO,0.0,SRG,SRG,2019-05-13 00:16:00,2019-05-13 04:40:00,1.0,0.0,1.0,605,0.0,16.0,280.0,308,arr,dpt,0,1,605,5.0,280.0
1,1,3K763,3K763,9VJSQ,A320,PAX,0.0,KIX,,2019-05-13 00:00:00,2019-05-13 02:50:00,1.0,0.0,1.0,C13,0.0,0.0,170.0,C13,arr,dpt,1,0,C13,0.0,170.0
2,2,3K764,3K161,9VJSQ,A320,PAX,0.0,DRW,KIX,2019-05-13 21:25:00,2019-05-13 23:05:00,1.0,0.0,1.0,C16,0.0,1285.0,1385.0,D47,arr,dpt,2,0,C16,1285.0,1385.0
3,3,3K162,3K697,9VJSI,A320,PAX,0.0,HKG,DRW,2019-05-13 09:05:00,2019-05-13 10:00:00,1.0,0.0,1.0,D35,0.0,545.0,600.0,C24,arr,dpt,3,0,D35,545.0,600.0
4,4,3K698,3K551,9VJSI,A320,PAX,0.0,SGN,HKG,2019-05-13 18:40:00,2019-05-13 19:50:00,1.0,0.0,1.0,C24,0.0,1120.0,1190.0,C17L,arr,dpt,4,0,C24,1120.0,1190.0
5,5,3K552,3K201,9VJSL,A320,PAX,0.0,CGK,SGN,2019-05-13 00:40:00,2019-05-13 08:15:00,1.0,0.0,1.0,C22,0.0,40.0,495.0,D35,arr,dpt,5,0,C22,40.0,495.0
6,6,3K202,3K823,9VJSL,A320,PAX,0.0,SWA,CGK,2019-05-13 12:40:00,2019-05-13 13:40:00,1.0,0.0,1.0,C22,0.0,760.0,820.0,D37,arr,dpt,6,0,C22,760.0,820.0
7,7,3K824,3K824,9VJSL,A320,PAX,0.0,,SWA,2019-05-13 23:05:00,2019-05-13 23:59:00,1.0,0.0,0.0,D44,0.0,1385.0,1439.0,D32,arr,tow,7,0,D44,1385.0,1439.0
8,8,3K663,3K663,9VJSS,A320,PAX,0.0,KUL,,2019-05-13 00:00:00,2019-05-13 09:35:00,1.0,0.0,1.0,C17L,0.0,0.0,575.0,D47,arr,dpt,8,0,C17L,0.0,575.0
9,9,3K664,3K203,9VJSS,A320,PAX,0.0,CGK,KUL,2019-05-13 12:30:00,2019-05-13 13:35:00,1.0,0.0,1.0,C18,0.0,750.0,815.0,C17R,arr,dpt,9,0,C18,750.0,815.0
10,10,3K204,3K537,9VJSS,A320,PAX,0.0,HKT,CGK,2019-05-13 18:00:00,2019-05-13 19:50:00,1.0,0.0,1.0,D30,0.0,1080.0,1190.0,C24,arr,dpt,10,0,D30,1080.0,1190.0
11,11,3K240,3K761,9VJSH,A320,PAX,0.0,MNL,DPS,2019-05-13 02:00:00,2019-05-13 06:15:00,1.0,0.0,1.0,C11,0.0,120.0,375.0,C11,arr,dpt,11,0,C11,120.0,375.0
12,12,3K762,3K283,9VJSH,A320,PAX,0.0,KNO,MNL,2019-05-13 14:15:00,2019-05-13 15:15:00,1.0,0.0,1.0,C11,0.0,855.0,915.0,D46,arr,dpt,12,0,C11,855.0,915.0
13,13,3K284,3K205,9VJSH,A320,PAX,0.0,CGK,KNO,2019-05-13 18:55:00,2019-05-13 20:00:00,1.0,0.0,1.0,C18,0.0,1135.0,1200.0,C16,arr,dpt,13,0,C18,1135.0,1200.0
